,MatchID,Date,VS,A,B,C,D,E,F,G
0,1243905,2017-08-05 22:00:00,伯顿VS加的夫城,228,1432745,3584152,0,2.5015979815,-2151407,2.5015979815
1,1243906,2017-08-05 22:00:00,富勒姆VS诺维奇,183,775246,1161362,0,1.4980561009,-386116,1.4980561009
2,1243907,2017-08-05 22:00:00,伊普斯维奇VS伯明翰,138,529851,659006,0,1.24375720721,-129155,1.24375720721
3,1204612,2017-08-05 19:35:00,北京国安VS山东鲁能,2446,10226527,18620278,0,1.82078216779,-8393751,1.82078216779
4,1243909,2017-08-05 22:00:00,普雷斯顿VS谢周三,162,622707,861427,0,1.38335846554,-238720,1.38335846554
5,1243910,2017-08-05 22:00:00,女王公园巡游者VS雷丁,144,334227,383554,0,1.14758532375,-49327,1.14758532375
6,1243911,2017-08-05 22:00:00,谢菲尔德联VS布伦特福德,143,239821,318751,0,1.32912046902,-78930,1.32912046902
7,1243912,2017-08-05 22:00:00,狼队VS米德尔斯堡,218,4299214,285875,0,0.0664947127545,4013339,0.0664947127545
8,1243913,2017-08-06 00:30:00,阿斯顿维拉VS赫尔城,369,1461638,2006786,0,1.37297059874,-545148,1.37297059874
9,1243914,2017-08-06 23:30:00,博尔顿VS利兹联,326,2686655,3328129,0,1.23876307155,-641474,1.23876307155
10,1263776,2017-08-07 01:45:00,贝西克塔斯VS科尼亚体育,0,0,0,0,0.0,0,0.0
11,1236127,2017-08-07 03:00:00,克鲁塞罗VS博塔福戈,178,250033,143455,0,0.573744265757,106578,0.573744265757
12,1249550,2017-08-05 21:00:00,兰斯VS奥尔良,291,890609,1205378,0,1.35343119147,-314769,1.35343119147
13,1204498,2017-08-05 19:35:00,上海申花VS长春亚泰,680,999582,157339,0,0.157404795204,842243,0.157404795204
14,1262612,2017-08-06 00:00:00,费耶诺德VS维迪斯,286,846448,225850,0,0.266820879723,620598,0.266820879723
15,1243034,2017-08-06 00:00:00,佩吕韦尔兹VS沙勒罗瓦,198,1754364,2641766,0,1.50582547293,-887402,1.50582547293
16,1246492,2017-08-07 01:00:00,圣彼得堡泽尼特VS莫斯科斯巴达,0,0,0,0,0.0,0,0.0
17,1243037,2017-08-06 02:30:00,祖尔特瓦雷根VS圣图尔登,102,119393,195198,0,1.63491997018,-75805,1.63491997018
18,1204613,2017-08-05 19:35:00,河北华夏VS延边富德,343,181847,125434,0,0.689777670239,56413,0.689777670239
19,1243040,2017-08-07 02:00:00,布鲁日VS欧本,288,872285,1202397,0,1.37844511828,-330112,1.37844511828
20,1236129,2017-08-07 03:00:00,格雷米奥VS米内罗,213,782338,611260,0,0.781324695975,171078,0.781324695975
21,1248674,2017-08-07 01:00:00,克拉斯诺达尔VS乌拉尔,361,3218526,1632577,0,0.50724368857,1585949,0.50724368857
22,1236131,2017-08-06 06:00:00,科林蒂安VS利斯菲体育会,330,560458,561345,0,1.0015826342,-887,1.0015826342
23,1248677,2017-08-06 22:30:00,莫斯科中央陆军VS喀山红钻石,611,5397131,1646863,0,0.305136747654,3750268,0.305136747654
24,1236134,2017-08-07 03:00:00,帕尔梅拉斯VS帕拉尼恩斯,217,659271,146944,0,0.222888614849,512327,0.222888614849
25,1204775,2017-08-05 19:35:00,广州恒大VS天津泰达,1499,1551420,1490717,0,0.960872619922,60703,0.960872619922
26,1204776,2017-08-05 19:35:00,贵州恒丰VS重庆力帆,623,2158424,1181502,0,0.547391059403,976922,0.547391059403
27,1248937,2017-08-06 06:00:00,德普埃布拉大学VS帕丘卡,222,1038808,1434442,0,1.38085382477,-395634,1.38085382477
28,1204615,2017-08-05 19:35:00,江苏苏宁VS河南建业,696,919652,295527,0,0.321346552827,624125,0.321346552827
29,1248941,2017-08-06 08:00:00,老虎大学VS克雷塔罗,365,4287358,536861,0,0.125219540799,3750497,0.125219540799
